community_area,total_requests,avg_response_time,community_area_name,total_population,income_estimate,pct_black,pct_hispanic,pct_white,pct_asian,requests_per_1000
42,13968,860.3461278955072,WOODLAWN,24437,67377.38715277778,77.60772598927855,3.204157629823628,11.486680034374105,3.547898678233826,571.5922576421001
43,28831,768.9465605501794,SOUTH SHORE,46276,66446.460787435,93.65329760567033,3.1614659866885644,3.4315844066038554,0.3457515774915723,623.0227331662201
44,23175,856.9432080546567,CHATHAM,31440,70887.45415647922,94.51017811704835,2.490458015267176,1.316793893129771,0.3530534351145038,737.1183206106871
45,8640,623.3608987911523,AVALON PARK,9492,79625.9842519685,94.01601348504003,0.5056890012642226,0.28445006321112515,0.6847871892119679,910.2402022756005
46,21885,730.5386642931485,SOUTH CHICAGO,29072,66897.38129042435,75.49532195927353,19.276279581728122,9.675976884975233,0.42996697853604837,752.7861860209136
47,1908,758.1460675809457,BURNSIDE,2229,88295.45454545454,90.04037685060565,4.8452220726783315,1.794526693584567,0.0,855.9892328398386
48,12028,689.1341562511546,CALUMET HEIGHTS,12078,92709.41054808686,94.96605398244743,4.123199205166419,1.0763371419109125,0.1407517800960424,995.8602417618812
49,33339,795.6912378728949,ROSELAND,37660,68879.35089369709,95.33988316516198,1.858736059479554,1.7737652681890599,0.2257036643653744,885.2628783855549
50,5738,761.984222193176,PULLMAN,6851,72013.67781155015,77.2587943365932,8.159392789373813,16.39176762516421,0.07298204641658153,837.5419646766895
51,12656,585.8523140758884,SOUTH DEERING,15100,63660.17964071856,64.36423841059603,31.17218543046358,20.576158940397352,0.006622516556291391,838.1456953642385
52,13418,977.2963287085342,EAST SIDE,23629,75690.48467569494,1.5447120064327733,86.66892378010073,46.095899107029496,0.6178848025731093,567.8615260908207
53,23207,705.0863889846455,WEST PULLMAN,25159,71064.53815946731,89.1370881195596,7.37708176000636,3.6090464644858695,0.0,922.4134504551055
54,2744,572.8223146460965,RIVERDALE,7740,35509.383378016086,95.15503875968993,3.255813953488372,2.3385012919896644,0.0,354.5219638242894
55,6555,745.9222581998474,HEGEWISCH,8895,87979.86891385767,13.783024170882518,48.690275435638,53.60314783586284,0.6632939853850478,736.9308600337267
56,25824,662.6949532304145,GARFIELD RIDGE,36265,101449.53973955994,3.2620984420239902,55.79760099269267,60.49634633944575,1.6407003998345513,712.0915483248311
57,12911,465.4417513704937,ARCHER HEIGHTS,13875,84372.8813559322,0.07207207207207207,79.97837837837838,44.91531531531531,4.8936936936936934,930.5225225225225
58,25519,493.3702847660349,BRIGHTON PARK,42360,69208.21861935352,2.211992445703494,79.75684608120869,33.092540132200185,10.365911237016052,602.4315391879131
59,13180,664.2468764120721,MCKINLEY PARK,15400,85883.08457711442,2.2012987012987013,55.02597402597402,33.75974025974026,27.805194805194805,855.8441558441558
60,22301,775.1144144881396,BRIDGEPORT,33012,87292.25262081309,3.0019386889615896,20.83787713558706,40.6215921483097,40.08845268387253,675.5422270689446
61,32573,541.7144956030386,NEW CITY,40843,64743.877780274095,20.679186151849766,66.86825159758098,30.7445584310653,2.4263643708836278,797.5173224297921
62,11819,1011.7939467289016,WEST ELSDON,18201,85200.75282308657,0.7032580627438053,81.20982363606394,42.854788198450635,3.7800120872479535,649.3599252788308
63,27397,550.6304248640362,GAGE PARK,34650,71571.93427731766,4.04906204906205,92.30880230880231,39.304473304473305,0.7619047619047619,790.6782106782107
64,15264,583.354492505969,CLEARING,24710,94006.38870208473,1.9668150546337515,60.18615944961554,56.32132739781465,0.7203561311210037,617.725617159045
65,17242,741.9271436189409,WEST LAWN,32451,85187.17728055078,2.862777726418292,84.04979815722166,42.26988382484361,0.7858001294259037,531.3241502573111
66,34667,729.359685748214,CHICAGO LAWN,52245,64824.62233026567,37.62656713561106,58.20078476409226,20.648865920183752,0.5206239831562829,663.5467508852522
67,27781,923.7411475068892,WEST ENGLEWOOD,25971,55826.53423199716,79.07666243117323,17.996996650109736,5.209656925031767,0.3195872319125178,1069.6931192483926
68,22156,715.2113539848749,ENGLEWOOD,21337,51031.35313531353,91.3905422505507,5.220977644467357,2.9010638796456862,0.7826779772226647,1038.3840277452312
69,24608,781.2151504479122,GREATER GRAND CROSSING,29052,58378.39867808322,94.74046537243564,2.6022304832713754,1.204736334847859,0.2547156822249759,847.0329065124604
70,25353,861.6206902536189,ASHBURN,42842,90704.05788301963,42.30428084589889,46.48942626394659,26.368983707576675,1.017692918164418,591.7790952803324
71,32985,925.8318763410978,AUBURN GRESHAM,46483,67776.88980819857,93.39758621431491,3.392638168792892,1.635006346406213,0.8583783318632618,709.6142675816966
72,14972,975.1216623437824,BEVERLY,19811,122783.67068898404,33.67321185200141,7.011256372722224,57.19044975013882,0.8883953359244865,755.7417596284893
73,21457,858.8923904915774,WASHINGTON HEIGHTS,26310,84310.21044427124,96.54503990877993,0.9426073736221969,1.85480805777271,0.09122006841505131,815.5454199923984
74,10147,862.6300939248601,MOUNT GREENWOOD,19107,122004.41276306857,1.8003872926152718,9.598576437954677,89.0616004605642,1.0572041660124563,531.0619144816036
75,16992,820.1071144100491,MORGAN PARK,21288,90663.45772131799,59.98684704998121,4.608229988726043,31.97576099210823,0.9911687335588125,798.196166854566
76,656313,6.620424704201942,OHARE,16281,88168.8570758038,6.627357041950741,18.50623426079479,65.25397702843806,13.7399422639887,40311.59019716234
77,23579,723.0177713337197,EDGEWATER,47484,102533.38454266131,11.970347906663296,16.333923005644007,60.32768932693118,12.054586808188022,496.5672647628675
